SL,playlistID,TrackName,TrackID,SampleURL,ReleaseYear,Genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,Popularity
149,4kpm50ItxF6iFUATTyQdOR,"Hai Dil Ye Mera (From ""Hate Story 2"")",5iE056ZoYobQuzKRDHQwTt,https://p.scdn.co/mp3-preview/f31c5aa33a329cc161a7d5b5a3bb1d0989a2b72a?cid=6f011d3377f54821bb6607c002103317,2019-04-24,"['desi pop', 'filmi', 'modern bollywood']",0.715,0.676,-4.791,0.0376,0.333,0,0.107,0.383,114.969,9,0,297712,45.0
150,4kpm50ItxF6iFUATTyQdOR,Aabaad Barbaad,3jxNbVmugKWFFc3YAVl0sD,https://p.scdn.co/mp3-preview/2d30c8943b8bc4e85c8f5c9e7a8dafce2157fd1c?cid=6f011d3377f54821bb6607c002103317,2020-11-13,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']",0.626,0.522,-5.857,0.0317,0.686,0,0.41,0.628,118.001,7,1,309103,64.0
151,4kpm50ItxF6iFUATTyQdOR,"Musafir (From ""Sweetiee Weds Nri"")",6O6L3hL5IlKuMhMqggTX4w,https://p.scdn.co/mp3-preview/e3d1b9e599117939ac51055fb402479b0ceb5663?cid=6f011d3377f54821bb6607c002103317,2017-05-15,[unknown],0.491,0.566,-4.668,0.0283,0.545,0,0.179,0.322,81.992,9,0,310696,58.0
152,4kpm50ItxF6iFUATTyQdOR,Yeh Fitoor Mera,3hp6JfJIxkv3sl7E6p7DQj,https://p.scdn.co/mp3-preview/7337d72f480de780558c2e4d1b14728e0fd56b88?cid=6f011d3377f54821bb6607c002103317,2018-05-15,"['desi pop', 'filmi', 'modern bollywood']",0.449,0.421,-8.92,0.0272,0.387,0.000108,0.11,0.203,163.747,4,1,283070,64.0
153,4kpm50ItxF6iFUATTyQdOR,Dildaara (Stand By Me),6ZoCBDOB308GqUdt2AJrV2,https://p.scdn.co/mp3-preview/3b58ed43f6fd58963fc4380d0a53249b5d0b88f7?cid=6f011d3377f54821bb6607c002103317,2011-09-16,"['classic pakistani pop', 'desi pop', 'filmi', 'modern bollywood', 'pakistani pop', 'sufi']",0.622,0.779,-5.799,0.037,0.102,0.000934,0.145,0.761,100.013,9,1,249661,67.0
154,4kpm50ItxF6iFUATTyQdOR,You Get Me Rockin & Reeling,5pMd5QRixmRGmPSSZKn4Ia,https://p.scdn.co/mp3-preview/e2f638a69d1d8eb094bab11423981cb6a5381ae8?cid=6f011d3377f54821bb6607c002103317,2009-01-05,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']",0.642,0.747,-5.163,0.0492,0.104,0,0.104,0.592,172.037,7,1,286427,46.0
155,4kpm50ItxF6iFUATTyQdOR,Dhokha Dhadi,4OGocHpMdz9Uyp6vmifqfO,https://p.scdn.co/mp3-preview/50354d7930f5ebfec0c4bad68ce909cf3c7b4242?cid=6f011d3377f54821bb6607c002103317,2013-10-28,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']",0.587,0.711,-6.196,0.0449,0.473,0,0.11,0.864,91.918,2,1,248546,54.0
156,4kpm50ItxF6iFUATTyQdOR,Prem Ki Naiyya,2JDsi7S0UmtGoyVPTda0ao,https://p.scdn.co/mp3-preview/94f5983f2573014e4b2d4039fe2c008380a6a1f5?cid=6f011d3377f54821bb6607c002103317,2009-11-06,"['desi hip hop', 'desi pop', 'filmi', 'modern bollywood']",0.786,0.853,-4.968,0.094,0.19,0.000185,0.0748,0.916,132.038,1,1,251130,53.0
157,4kpm50ItxF6iFUATTyQdOR,Naina,3SHopOL3KEJ8PFl3vJdfmF,https://p.scdn.co/mp3-preview/11f7ba73bf6f6efe2814f6581cdbe60fdeb79a7f?cid=6f011d3377f54821bb6607c002103317,2014-08-12,"['desi pop', 'filmi', 'modern bollywood', 'pakistani pop']",0.495,0.556,-7.49,0.041,0.638,0,0.123,0.366,159.996,3,1,225569,56.0
158,4kpm50ItxF6iFUATTyQdOR,Janib (Duet),381oyhnt5pDcY8rj0xmoBG,https://p.scdn.co/mp3-preview/cff647bebe402ae2c80c8d9cf47449b9db2c56f3?cid=6f011d3377f54821bb6607c002103317,2015-03-09,"['desi pop', 'filmi', 'modern bollywood']",0.452,0.833,-4.292,0.0833,0.456,0,0.121,0.533,171.785,6,1,342899,48.0
159,4kpm50ItxF6iFUATTyQdOR,Humko Pyar Hua,4cltuh2RNH0LyZY9I8Vi08,https://p.scdn.co/mp3-preview/e3d39053f5e924b1e8907d7bfac5cba42e6fd3c2?cid=6f011d3377f54821bb6607c002103317,2011-04-25,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']",0.574,0.816,-5.712,0.0767,0.39,0,0.399,0.478,90.018,2,1,327300,50.0
160,4kpm50ItxF6iFUATTyQdOR,O Bekhabar,4YwGnKgtq7V0EI1hYNOirm,https://p.scdn.co/mp3-preview/b17d07f8fc9f359628a9451ca712ac2fa94d4944?cid=6f011d3377f54821bb6607c002103317,2010-10-07,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']",0.618,0.806,-4.437,0.0771,0.549,0,0.474,0.684,91.909,7,1,267252,48.0
