SL,playlistID,TrackName,TrackID,SampleURL,ReleaseYear,Genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,Popularity
194,4kpm50ItxF6iFUATTyQdOR,O Saajna,7FRsYAkmCOSX1FbExaDeBM,https://p.scdn.co/mp3-preview/6d6d2e6531b78840604b1e50f90fbf150be7448c?cid=6f011d3377f54821bb6607c002103317,2019-11-21,"['desi pop', 'modern bollywood']",0.468,0.612,-5.518,0.0463,0.818,1.71e-06,0.119,0.333,162.118,0,1,284444,58.0
195,4kpm50ItxF6iFUATTyQdOR,Aadha Ishq,4lKuVRhrSO9le6tRbgrpKC,https://p.scdn.co/mp3-preview/2f89122af7b03b627996f77950a45106ee539c4b?cid=6f011d3377f54821bb6607c002103317,2010-03-11,"['desi hip hop', 'desi pop', 'filmi', 'indian folk', 'modern bollywood']",0.546,0.505,-9.909,0.0873,0.314,2.93e-05,0.0971,0.522,82.917,0,1,283716,49.0
196,4kpm50ItxF6iFUATTyQdOR,Rabba Main Toh Mar Gaya Oye,0UlJKSmbpSPaRxUnr0lpgH,https://p.scdn.co/mp3-preview/6d87d33170a2729955e1656292dcae64dbe72566?cid=6f011d3377f54821bb6607c002103317,2011-08-11,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']",0.577,0.821,-4.553,0.0545,0.331,0,0.295,0.536,87.984,9,1,280520,50.0
197,4kpm50ItxF6iFUATTyQdOR,Chori Kiya Re Jiya,5CteVMD0U8C9WbAWvrNgkN,https://p.scdn.co/mp3-preview/e651c769908f2383c1638297c31f672aeb747de7?cid=6f011d3377f54821bb6607c002103317,2010-08-04,"['desi pop', 'filmi', 'modern bollywood']",0.507,0.585,-5.367,0.0288,0.475,0,0.317,0.449,132.741,9,1,286720,56.0
198,4kpm50ItxF6iFUATTyQdOR,Falak Tak,0IudGhdeJZwJ0Ps6ndtQDt,https://p.scdn.co/mp3-preview/0d3c5486b6a33b9953beeecba08f3bc0a5280c0e?cid=6f011d3377f54821bb6607c002103317,2008-03-27,"['desi pop', 'filmi', 'modern bollywood']",0.718,0.697,-6.474,0.135,0.634,1.53e-05,0.0563,0.62,143.907,2,0,356180,63.0
199,4kpm50ItxF6iFUATTyQdOR,Tere Sang Yaara,4BOYIpYF7zTYtAkpjoD687,https://p.scdn.co/mp3-preview/2908c712f97d10453cf1b5287f23af3d1616f457?cid=6f011d3377f54821bb6607c002103317,2016-07-15,"['classic pakistani pop', 'desi pop', 'filmi', 'modern bollywood', 'sufi']",0.539,0.551,-7.351,0.0361,0.651,0,0.124,0.556,75.899,8,1,286380,68.0
200,4kpm50ItxF6iFUATTyQdOR,Hasi - Male Version,32765xcLM1fd6wQIpkN9A0,https://p.scdn.co/mp3-preview/965fff2652cafa1e2240c0fbd2fbe887be601f3d?cid=6f011d3377f54821bb6607c002103317,2015-05-21,['modern bollywood'],0.296,0.581,-5.945,0.0338,0.433,0,0.0577,0.231,147.935,6,0,272669,64.0
201,4kpm50ItxF6iFUATTyQdOR,Mitwa,4BTPzhEsyW3blWcxcuhLM0,https://p.scdn.co/mp3-preview/1212f666309e8cca20f0688f86eba8ceea699c8a?cid=6f011d3377f54821bb6607c002103317,2006-06-08,"['desi pop', 'filmi', 'modern bollywood']",0.63,0.63,-7.525,0.0364,0.295,1.26e-05,0.0934,0.517,107.103,4,1,382973,65.0
202,4kpm50ItxF6iFUATTyQdOR,Chittiyaan Kalaiyaan,6XjJXPP3UiGtAQpYkD01c0,https://p.scdn.co/mp3-preview/5d4ef4e377ad511dd8a18b2ea3364d7276c248d7?cid=6f011d3377f54821bb6607c002103317,2015-01-09,"['desi pop', 'filmi', 'modern bollywood']",0.793,0.887,-5.285,0.0954,0.0962,6.39e-05,0.623,0.602,100.007,7,1,246100,59.0
203,4kpm50ItxF6iFUATTyQdOR,"Kabhii Tumhhe (From ""Shershaah"")",6R6BpMBFQrF7n2uEOxYmss,https://p.scdn.co/mp3-preview/3794b2e6805d6487e47ef516170ac40c50661fe2?cid=6f011d3377f54821bb6607c002103317,2021-08-19,"['desi pop', 'modern bollywood']",0.552,0.336,-7.466,0.0284,0.84,1.92e-06,0.12,0.394,96.869,7,0,230103,61.0
204,4kpm50ItxF6iFUATTyQdOR,Khali Salam Dua,6mNFka8vs9DGwsMF9brscL,https://p.scdn.co/mp3-preview/bb88af164290226d81401f0f520592c410f3a01f?cid=6f011d3377f54821bb6607c002103317,2013-05-29,"['desi pop', 'filmi', 'modern bollywood']",0.599,0.505,-7.662,0.0393,0.47,0,0.165,0.479,121.768,7,1,309747,55.0
205,4kpm50ItxF6iFUATTyQdOR,Rozana,1mYcukuz7uow0wc7DmPXHU,https://p.scdn.co/mp3-preview/e72fdcc6452a653dc9c0d95044c208f80b8eb0d9?cid=6f011d3377f54821bb6607c002103317,2017-03-03,"['desi pop', 'filmi', 'modern bollywood']",0.434,0.378,-8.7,0.029,0.766,0.000136,0.115,0.291,92.982,8,1,274202,57.0
206,4kpm50ItxF6iFUATTyQdOR,"Kuch To Hai (From ""Do Lafzon Ki Kahani"")",4Itl3EiMmB9S4VNiRQTHHz,https://p.scdn.co/mp3-preview/595a6256c3af11984cdcfba964a771aee3cd9b83?cid=6f011d3377f54821bb6607c002103317,2016-12-30,"['desi pop', 'filmi', 'modern bollywood']",0.487,0.321,-10.915,0.0261,0.793,0.000242,0.166,0.202,95.001,4,0,248105,54.0
207,4kpm50ItxF6iFUATTyQdOR,O'Meri Laila,4qVStkAhz8A61r7bfLqPvM,https://p.scdn.co/mp3-preview/0cafc52d6855315154161d71b67212b65a92ab8a?cid=6f011d3377f54821bb6607c002103317,2018-08-17,"['classic pakistani pop', 'desi pop', 'filmi', 'modern bollywood', 'sufi']",0.577,0.812,-4.801,0.0535,0.158,0,0.25,0.758,160.1,8,1,281856,59.0
208,4kpm50ItxF6iFUATTyQdOR,"Phir Kabhi (From ""M.S.Dhoni - The Untold Story"")",77gskLti3ilCnuwlDq0m8j,https://p.scdn.co/mp3-preview/d77bd02dbe3d529144ef185c597b21665f1c514e?cid=6f011d3377f54821bb6607c002103317,2016-12-30,"['desi pop', 'filmi', 'modern bollywood']",0.405,0.665,-5.498,0.0328,0.614,0,0.525,0.404,81.921,4,1,287422,54.0
209,4kpm50ItxF6iFUATTyQdOR,Mera Mann Kehne Laga (Reprise),19aNba9ax6u06ZDIKxCTta,https://p.scdn.co/mp3-preview/9e10f9ceed286cce208f0a4ddd5516aa6f0bab46?cid=6f011d3377f54821bb6607c002103317,2013-02-25,['pakistani pop'],0.541,0.482,-8.467,0.0265,0.396,4.46e-05,0.1,0.315,75.017,7,1,260461,44.0
210,4kpm50ItxF6iFUATTyQdOR,Rabba,5jOHD4c6UayVZn9Xm7IvyO,https://p.scdn.co/mp3-preview/b3cc57ff741468fb63afe601521f08a3e96f16fb?cid=6f011d3377f54821bb6607c002103317,2014-04-21,"['desi pop', 'filmi', 'modern bollywood']",0.292,0.766,-5.206,0.0563,0.197,0,0.243,0.468,82.305,11,1,293209,56.0
211,4kpm50ItxF6iFUATTyQdOR,Sadka,4dPeCbg2Op44s9kwyMS3ZT,https://p.scdn.co/mp3-preview/642f05e4f2b32ebd02b6709b723c5d32aff5da7b?cid=6f011d3377f54821bb6607c002103317,2010-05-25,"['desi pop', 'filmi', 'modern bollywood']",0.678,0.547,-6.89,0.0286,0.232,0.000176,0.0785,0.579,143.892,7,1,343587,53.0
212,4kpm50ItxF6iFUATTyQdOR,Jab Mila Tu,6Sp7azay1NZU4wxlFacWCl,https://p.scdn.co/mp3-preview/517c1a31594ced01a631df30ab0f340ae7ce0433?cid=6f011d3377f54821bb6607c002103317,2010-05-25,"['desi pop', 'filmi', 'modern bollywood']",0.626,0.561,-6.644,0.0304,0.0482,0,0.304,0.794,167.916,9,0,251853,53.0
213,4kpm50ItxF6iFUATTyQdOR,"Khabar Nahi (From ""Dostana"")",60wChq5hXsfkmdlMEhCZYI,https://p.scdn.co/mp3-preview/d0d5e1c3df2af57852eba95f175c9da46d71498f?cid=6f011d3377f54821bb6607c002103317,2015-06-04,"['desi pop', 'filmi', 'modern bollywood']",0.622,0.758,-6.641,0.11,0.153,0,0.0622,0.436,90.951,7,1,259120,40.0
214,4kpm50ItxF6iFUATTyQdOR,Bahara,1gwO79MdYdumgIjxq8eCxB,https://p.scdn.co/mp3-preview/2b45c7f1b36700db6ecd52cad1f5c9ee31e9c3b1?cid=6f011d3377f54821bb6607c002103317,2010-05-25,"['desi pop', 'filmi', 'modern bollywood']",0.595,0.739,-6.733,0.0359,0.0716,6.98e-06,0.134,0.722,87.834,5,1,325707,61.0
215,4kpm50ItxF6iFUATTyQdOR,Kuch To Hua Hai,0Kd2IhGYGYrOATgOOnDBzI,https://p.scdn.co/mp3-preview/381f058b7aac3a4798984e2f32ef80e7667adc6f?cid=6f011d3377f54821bb6607c002103317,2003-09-20,"['desi pop', 'filmi', 'modern bollywood']",0.674,0.661,-7.973,0.0618,0.128,2.03e-05,0.283,0.458,95.967,7,1,319560,54.0
216,4kpm50ItxF6iFUATTyQdOR,Tumhi Dekho Naa,2ILhVeTkbDAYEvesCCBsNo,https://p.scdn.co/mp3-preview/d6f30c631c53b6b5abfacc832d7f57cefc6e6a77?cid=6f011d3377f54821bb6607c002103317,2006-06-08,"['desi pop', 'filmi', 'modern bollywood']",0.525,0.448,-10.365,0.0391,0.572,1.51e-05,0.107,0.356,81.131,2,0,347453,60.0
217,4kpm50ItxF6iFUATTyQdOR,Kabhi Alvida Naa Kehna,4uXShFWajd1PTQzlW3P4jj,https://p.scdn.co/mp3-preview/34c758de362a9806d755d022000e74e28570af6d?cid=6f011d3377f54821bb6607c002103317,2006-06-08,"['desi pop', 'filmi', 'modern bollywood']",0.365,0.407,-10.352,0.0424,0.752,0.00129,0.212,0.464,149.161,5,1,483920,58.0
218,4kpm50ItxF6iFUATTyQdOR,Saawariya,5T6yrJuKWnkCH2OlQsoO7z,https://p.scdn.co/mp3-preview/bde10749a2aec01702300623910e56706734bdf4?cid=6f011d3377f54821bb6607c002103317,2007-09-14,"['desi pop', 'filmi', 'modern bollywood']",0.407,0.497,-8.292,0.0398,0.45,1.74e-05,0.129,0.764,102.649,9,1,165773,47.0
219,4kpm50ItxF6iFUATTyQdOR,"Chor Bazari (From ""Love Aaj Kal "")",6XE0MxTJdLWEePTCqAw5xr,https://p.scdn.co/mp3-preview/71b1d759927473b76ecdbce41ce60242f1af464c?cid=6f011d3377f54821bb6607c002103317,2009,"['desi hip hop', 'desi pop', 'filmi', 'modern bollywood']",0.824,0.757,-5.047,0.0743,0.368,0.000111,0.146,0.97,100.027,11,1,257440,55.0
220,4kpm50ItxF6iFUATTyQdOR,Tera Rastaa Chhodoon Na,7cLGKaJXLFpUU7Up34vVr1,https://p.scdn.co/mp3-preview/eeec90622f4b0caf89d0a16a4aed07219584fc4b?cid=6f011d3377f54821bb6607c002103317,2013-07-03,['modern bollywood'],0.419,0.679,-8.052,0.0384,0.493,0.00229,0.119,0.368,169.911,4,1,252964,57.0
221,4kpm50ItxF6iFUATTyQdOR,"Chaandaniya (From ""2 States"")",7FsbfCdgaITFyfA51iur79,https://p.scdn.co/mp3-preview/a2d7480518c99a6e10c1c44eddef2247058f5508?cid=6f011d3377f54821bb6607c002103317,2019-01-24,[unknown],0.567,0.546,-8.316,0.0405,0.301,1.69e-06,0.129,0.401,113.806,4,1,247862,46.0
222,4kpm50ItxF6iFUATTyQdOR,Rabba Main Toh Mar Gaya Oye,5xRci5qoXzzJgR6ZwzXO2J,https://p.scdn.co/mp3-preview/f95d9010fadd4e42ab0591996ce0e99d99afeae5?cid=6f011d3377f54821bb6607c002103317,2011-08-11,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']",0.586,0.833,-3.046,0.069,0.469,0,0.312,0.593,87.892,9,1,269003,55.0
223,4kpm50ItxF6iFUATTyQdOR,Deewana Kar Raha Hai,2tva3nN2kQhBjHMC7Zlty6,https://p.scdn.co/mp3-preview/995ae3f0b22f6e0cde17c163cd201d6afaf6da68?cid=6f011d3377f54821bb6607c002103317,2012-08-03,"['desi hip hop', 'desi pop', 'filmi', 'modern bollywood', 'sufi']",0.538,0.736,-6.113,0.109,0.37,0,0.124,0.644,147.89,11,0,338923,63.0
224,4kpm50ItxF6iFUATTyQdOR,Tu Hi Haqeeqat,3OLFqbd9ZeVjaUKTiaLsD6,https://p.scdn.co/mp3-preview/eda8ffd18cdb3f8f47bf796b1decaf9533439270?cid=6f011d3377f54821bb6607c002103317,2009-09-08,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']",0.705,0.744,-5.416,0.0341,0.582,0,0.2,0.706,115.959,4,0,302027,63.0
225,4kpm50ItxF6iFUATTyQdOR,Mera Pyar Tera Pyar,22DrqPUQfcOkv6QmjvHFcB,https://p.scdn.co/mp3-preview/310aaf4f7fb0ef848d068c3f63cd8ea925ea7367?cid=6f011d3377f54821bb6607c002103317,2018-09-21,"['desi pop', 'filmi', 'modern bollywood']",0.638,0.471,-7.025,0.0258,0.825,0,0.0993,0.381,99.017,7,0,275371,56.0
226,4kpm50ItxF6iFUATTyQdOR,Aye Khuda,1SdMHj6tJp2YZ5INflJR1T,https://p.scdn.co/mp3-preview/a1211b803b2d5e32e297de9cc17498b2d8c997d1?cid=6f011d3377f54821bb6607c002103317,2011-05-30,['modern bollywood'],0.614,0.653,-5.056,0.036,0.353,1.14e-06,0.113,0.379,103.989,8,0,410459,57.0
227,4kpm50ItxF6iFUATTyQdOR,Toh Phir Aao,3i8MmnLZlkkxv8jexworxD,None,2007-06-29,"['desi hip hop', 'desi pop', 'filmi', 'modern bollywood', 'pakistani pop']",0.459,0.563,-6.369,0.0263,0.39,1.98e-06,0.107,0.0961,101.996,9,0,348280,28.0
228,4kpm50ItxF6iFUATTyQdOR,Tera Mera Rishta,0KSH21KbnIHHb1J4j8QrbY,None,2007-06-29,"['desi hip hop', 'desi pop', 'filmi', 'modern bollywood', 'pakistani pop']",0.575,0.895,-3.417,0.0541,0.0521,0.00142,0.104,0.648,102.02,4,0,347040,31.0
229,4kpm50ItxF6iFUATTyQdOR,Baarish,6ABHr8kYCws5z6gC9Lwith,https://p.scdn.co/mp3-preview/f90179501798b44da071f66888db59857f1abcc8?cid=6f011d3377f54821bb6607c002103317,2013-12-09,"['desi pop', 'filmi', 'modern bollywood']",0.443,0.447,-7.895,0.0356,0.768,0,0.2,0.215,127.395,7,0,374938,63.0
230,4kpm50ItxF6iFUATTyQdOR,"Milne Hai Mujhse Aayi (From ""Aashiqui 2"")",24b9eObMccIrDSs3NvdrRd,https://p.scdn.co/mp3-preview/d238fbe7cfeccf6d92ff6ddd2ba8862ba93880da?cid=6f011d3377f54821bb6607c002103317,2019-04-24,"['desi pop', 'filmi', 'modern bollywood']",0.515,0.707,-5.467,0.0426,0.0357,0,0.134,0.304,143.752,11,0,295798,47.0
231,4kpm50ItxF6iFUATTyQdOR,"Main Dhoondne Ko Zamaane Mein (From ""Heartless"")",43YkTTlOD203o9E5ZxhUjF,https://p.scdn.co/mp3-preview/11d6c7fff711f3343e37eed112e7460e1e40d9df?cid=6f011d3377f54821bb6607c002103317,2019-04-24,"['desi pop', 'filmi', 'modern bollywood']",0.329,0.45,-6.312,0.0405,0.594,0,0.13,0.284,80.095,2,0,262987,61.0
232,4kpm50ItxF6iFUATTyQdOR,"Kabhi Jo Baadal Barse (From ""Jackpot)",2dOWkdPfiT9SU2Wm734Rh6,https://p.scdn.co/mp3-preview/52f9f8d518fc6a192d034bfd4d4c96c1a4b82c3c?cid=6f011d3377f54821bb6607c002103317,2016-02-11,"['desi pop', 'filmi', 'modern bollywood']",0.451,0.449,-6.702,0.0293,0.261,0,0.143,0.217,149.768,0,0,254300,56.0
233,4kpm50ItxF6iFUATTyQdOR,Bheegi Si Bhaagi Si,665b3Nss3OQmhTUdB5hBXw,https://p.scdn.co/mp3-preview/487e9ba85ad4a70e6188072d3b69a5817f8751f9?cid=6f011d3377f54821bb6607c002103317,2010-05-12,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']",0.564,0.867,-6.21,0.121,0.361,0,0.262,0.815,88.919,8,1,278093,59.0
234,4kpm50ItxF6iFUATTyQdOR,"Daaru Desi (From ""Cocktail"")",5J1htd0xIGQ2L7RRucBAo6,https://p.scdn.co/mp3-preview/97ca9423c7af243c9111294a4ebec1ecce3bfee3?cid=6f011d3377f54821bb6607c002103317,2012-06-12,"['desi hip hop', 'desi pop', 'filmi', 'modern bollywood']",0.703,0.786,-6.779,0.0483,0.198,0.000712,0.101,0.647,93.987,8,0,269590,61.0
235,4kpm50ItxF6iFUATTyQdOR,"Jaane Kyun (From ""Dostana"")",3MNYXalwzhzSY3APoec6Nn,https://p.scdn.co/mp3-preview/64fc1a2aa095f040910a08dcffcbfd03f21f23b0?cid=6f011d3377f54821bb6607c002103317,2015-06-04,"['desi pop', 'filmi', 'modern bollywood']",0.778,0.812,-8.561,0.046,0.0573,8.28e-06,0.243,0.791,99.962,4,0,277987,51.0
236,4kpm50ItxF6iFUATTyQdOR,Uff Teri Adaa,0og9wKFGgFFNQnrBe7eisG,https://p.scdn.co/mp3-preview/18552d881b290088fc6ad1efde1d17111db3a782?cid=6f011d3377f54821bb6607c002103317,2010-01-18,"['desi hip hop', 'desi pop', 'filmi', 'modern bollywood', 'tamil pop']",0.647,0.792,-9.815,0.0373,0.00536,5.82e-05,0.054,0.306,132.032,2,1,304089,65.0
237,4kpm50ItxF6iFUATTyQdOR,Ishq Sufiyana (Male),5zcfnScTSFGCHGY1yeXWke,https://p.scdn.co/mp3-preview/bb982bba012bc578f799f8a5d65588c38ccfcfba?cid=6f011d3377f54821bb6607c002103317,2011-10-29,"['desi pop', 'punjabi pop']",0.511,0.622,-6.184,0.0435,0.0662,7.78e-05,0.0465,0.387,85.349,10,1,325257,59.0
238,4kpm50ItxF6iFUATTyQdOR,Tu Aake Dekhle,0yCWDaAgOtg6TKlNCg9rwA,https://p.scdn.co/mp3-preview/82e4f9e0eff3bc5f3aee70690c2f9a167b0aa9f6?cid=6f011d3377f54821bb6607c002103317,2020-09-21,"['desi hip hop', 'desi pop', 'hindi hip hop']",0.77,0.84,-4.022,0.107,0.515,0.00452,0.145,0.192,96.012,11,1,270000,79.0
239,4kpm50ItxF6iFUATTyQdOR,"Ranjha (From ""Shershaah"")",72zHuDxFQTjbL51qJQSA7j,https://p.scdn.co/mp3-preview/6c7ba73fedd957c3085a0e32ea3a650fc2267b49?cid=6f011d3377f54821bb6607c002103317,2021-08-05,"['desi pop', 'filmi', 'indian singer-songwriter', 'modern bollywood']",0.603,0.573,-5.843,0.0502,0.478,0,0.0971,0.236,82.941,1,1,228855,83.0
240,4kpm50ItxF6iFUATTyQdOR,No Competition,1TRgZ55GFCKSbrTb62rmra,https://p.scdn.co/mp3-preview/d4990acf54fdea05503fb7c784bf0d12105f79a5?cid=6f011d3377f54821bb6607c002103317,2020-09-13,"['desi hip hop', 'desi pop']",0.868,0.635,-6.352,0.227,0.164,0,0.0898,0.621,90.019,10,0,205500,67.0
241,4kpm50ItxF6iFUATTyQdOR,Raabta (Kehte Hain Khuda Ne),11PgL2XjsTBszhAPqttBJS,https://p.scdn.co/mp3-preview/b6052a6d4ab19fb0675ef1c07bcec44979739932?cid=6f011d3377f54821bb6607c002103317,2012-02-24,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']",0.69,0.427,-6.831,0.0269,0.866,0,0.11,0.459,110.938,4,1,289197,56.0
242,4kpm50ItxF6iFUATTyQdOR,Tera Deedar Hua,0d1JQdBaeetUo8xAiKCT3C,https://p.scdn.co/mp3-preview/8b26328d46bc4b05eb39138cd85616870949e1be?cid=6f011d3377f54821bb6607c002103317,2012-03-30,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']",0.58,0.846,-3.464,0.0523,0.592,0,0.113,0.774,89.952,2,1,347573,54.0
243,4kpm50ItxF6iFUATTyQdOR,Aa Jao Meri Tamanna,30IOhjcKbULQUt66nYkUvW,https://p.scdn.co/mp3-preview/302500fdcb1fb3a649670d7326e06950e13bda5e?cid=6f011d3377f54821bb6607c002103317,2009-11-06,"['desi hip hop', 'desi pop', 'filmi', 'modern bollywood', 'sufi']",0.486,0.881,-3.795,0.0558,0.0386,0,0.0678,0.637,89.219,2,0,245688,52.0
244,4kpm50ItxF6iFUATTyQdOR,Tere Liye,0fCQRUbk8LIQTdQYGNtGyv,https://p.scdn.co/mp3-preview/94c7cc69e6c4394f4564701563cbcc9b1677fc82?cid=6f011d3377f54821bb6607c002103317,2010-04-09,"['classic pakistani pop', 'desi pop', 'filmi', 'modern bollywood', 'sufi']",0.624,0.906,-4.436,0.0514,0.0978,0,0.0963,0.632,129.99,11,0,279827,60.0
245,4kpm50ItxF6iFUATTyQdOR,Ek Din Teri Raahon,6UEhNvccAc4OyEDJYB5brb,https://p.scdn.co/mp3-preview/cb0e89fb233156076b97a6e45353acd71bb414cb?cid=6f011d3377f54821bb6607c002103317,2007-07-13,"['desi hip hop', 'desi pop', 'filmi', 'modern bollywood', 'sufi']",0.602,0.867,-4.745,0.114,0.229,1.05e-05,0.0806,0.698,91.993,2,0,292000,53.0
246,4kpm50ItxF6iFUATTyQdOR,Tere Bin,3DpedytYku64Hjf51064vO,https://p.scdn.co/mp3-preview/baa45f24a0c4a8d8d4adb5c94fc821806d5e3641?cid=6f011d3377f54821bb6607c002103317,2006-09-15,"['classic pakistani pop', 'desi pop', 'filmi', 'modern bollywood', 'sufi']",0.296,0.796,-4.846,0.0743,0.455,8.61e-06,0.0869,0.425,87.846,0,1,275987,55.0
247,4kpm50ItxF6iFUATTyQdOR,Aa Bhi Jaa Sanam,2XuP5uP8xloYNXtKY0uQEx,https://p.scdn.co/mp3-preview/3a8ae45e129728e0313ba85008031c6aa399c8ad?cid=6f011d3377f54821bb6607c002103317,2010-04-09,"['classic pakistani pop', 'desi pop', 'filmi', 'modern bollywood', 'sufi']",0.533,0.68,-6.39,0.033,0.235,9.28e-05,0.0941,0.305,129.939,9,0,192840,46.0
248,4kpm50ItxF6iFUATTyQdOR,"Surili Akhiyon Wale (From ""Veer"")",2RJCustVwESEgBF9WNFi79,https://p.scdn.co/mp3-preview/19e7d38cee0d6e715724e76bd3e9bae1b202b008?cid=6f011d3377f54821bb6607c002103317,2010,"['classic pakistani pop', 'filmi', 'modern bollywood', 'qawwali', 'sufi']",0.514,0.574,-5.788,0.0312,0.402,0,0.0965,0.4,75.89,4,1,331758,62.0
249,4kpm50ItxF6iFUATTyQdOR,"Rishte Naate - From ""De Dana Dan""",6alUOXeJ3T6vi8dkN8QSbi,https://p.scdn.co/mp3-preview/4b2b8f0d96d22f9f1a2353316c4bad02b25bd67c?cid=6f011d3377f54821bb6607c002103317,2016-07-01,"['classic pakistani pop', 'filmi', 'modern bollywood', 'qawwali', 'sufi']",0.637,0.825,-6.612,0.0815,0.352,0,0.389,0.835,92.029,11,1,286587,52.0
250,4kpm50ItxF6iFUATTyQdOR,Tu Hi Mera,1CVqr5LImdmJ1Upt4z08Pm,https://p.scdn.co/mp3-preview/97efbb03b7307b2a83dae4fbb25212edca564a19?cid=6f011d3377f54821bb6607c002103317,2012-03-30,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']",0.621,0.859,-4.673,0.102,0.546,0,0.11,0.873,90.047,11,1,272973,59.0
251,4kpm50ItxF6iFUATTyQdOR,Ishaqzaade,74dP5hqakjK6WAs05TqOwb,https://p.scdn.co/mp3-preview/05ceb3042d538417df7feaec7a1dcc693bfe22c5?cid=6f011d3377f54821bb6607c002103317,2012-04-12,"['desi pop', 'filmi', 'modern bollywood']",0.32,0.337,-10.91,0.0611,0.709,0,0.0662,0.206,79.098,0,1,316865,53.0
252,4kpm50ItxF6iFUATTyQdOR,Bin Tere,3bZPdEskcnMdepwCaDSJRl,https://p.scdn.co/mp3-preview/f50ad8bb2b8c3ea4b4bbdbe0271e41f85e3a8826?cid=6f011d3377f54821bb6607c002103317,2010-05-25,"['desi pop', 'filmi', 'modern bollywood']",0.585,0.698,-6.261,0.0392,0.42,3.59e-06,0.363,0.621,139.831,9,1,330360,61.0
253,4kpm50ItxF6iFUATTyQdOR,Jab Se Tere Naina,0gRNu9dVzi5aC87AI1empZ,https://p.scdn.co/mp3-preview/fabcdd74f51d577d96603209c04097b939b58b4a?cid=6f011d3377f54821bb6607c002103317,2007-09-14,"['desi pop', 'filmi', 'modern bollywood']",0.599,0.653,-7.576,0.122,0.362,0,0.144,0.678,79.968,0,0,284573,62.0
254,4kpm50ItxF6iFUATTyQdOR,Sajdaa,5upmbnXemLfPvs3d2eyHml,https://p.scdn.co/mp3-preview/d6f628b27b571af602fc91989243d7bab0480848?cid=6f011d3377f54821bb6607c002103317,2010-01-05,"['desi pop', 'filmi', 'modern bollywood']",0.468,0.737,-7.274,0.0765,0.726,0.00272,0.0655,0.572,79.448,8,1,365707,62.0
255,4kpm50ItxF6iFUATTyQdOR,Tere Naina,1AXQ4ZCUueIfGGEYAdq9Pe,https://p.scdn.co/mp3-preview/07fd5888134f5cec843f3b06e8b5a5fb849b39e2?cid=6f011d3377f54821bb6607c002103317,2010-01-05,"['desi pop', 'filmi', 'modern bollywood']",0.522,0.74,-7.018,0.0465,0.558,0,0.144,0.732,92.618,0,1,278547,59.0
256,4kpm50ItxF6iFUATTyQdOR,Kuch Kuch Hota Hai,4RixtPhUXlci9ad4qIMj23,https://p.scdn.co/mp3-preview/838f04393c119b9b33bf432e6e5bbad16429024b?cid=6f011d3377f54821bb6607c002103317,1998-08-13,"['afghan pop', 'chutney', 'classic bollywood', 'desi pop', 'filmi', 'modern bollywood']",0.547,0.554,-11.165,0.0374,0.602,0.000155,0.0735,0.848,91.386,7,1,297867,62.0
257,4kpm50ItxF6iFUATTyQdOR,Koi Mil Gaya,5L9fLNHSj5SuGvJRljdWJb,https://p.scdn.co/mp3-preview/452bbeeaeb5ae88f9b6fad21d0d04a576a00249a?cid=6f011d3377f54821bb6607c002103317,1998-08-13,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood']",0.7,0.687,-9.292,0.0504,0.503,1.2e-05,0.057,0.815,136.028,2,1,437693,59.0
258,4kpm50ItxF6iFUATTyQdOR,Ye Ishq Hai,4BiPsAV070dg3eLSVf727A,https://p.scdn.co/mp3-preview/3800b4f36f56248d14f20b7b56c6546557ba4826?cid=6f011d3377f54821bb6607c002103317,2007-09-21,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']",0.823,0.638,-7.126,0.159,0.434,2.09e-06,0.255,0.882,118.045,5,0,280974,62.0
259,4kpm50ItxF6iFUATTyQdOR,Bas Ek Baar,03P2AeLPJWS6nrcZJ4p4cE,https://p.scdn.co/mp3-preview/eead67ad38be586160b98d92a9b06e0616365813?cid=6f011d3377f54821bb6607c002103317,2019-03-13,['gujarati pop'],0.481,0.382,-7.938,0.0289,0.893,8.3e-06,0.105,0.415,144.799,0,1,240875,52.0
260,4kpm50ItxF6iFUATTyQdOR,Asal Mein,0rMeOAvbQZ2RTG4B6L1M4p,https://p.scdn.co/mp3-preview/0ae09aa00e6f95632c7b3adb334834f03a0ab4ab?cid=6f011d3377f54821bb6607c002103317,2020-02-18,"['desi pop', 'gujarati pop', 'modern bollywood']",0.656,0.551,-6.43,0.0299,0.721,1.26e-06,0.0947,0.329,114.106,8,1,224240,66.0
